nodes,cyc,type
132,500,A
368,500,B
141,1000,A
359,1000,B
70,1500,A
430,1500,B
13,2000,A
487,2000,B
0,2500,A
500,2500,B
0,3000,A
500,3000,B
0,3500,A
500,3500,B
0,4000,A
500,4000,B
0,4500,A
500,4500,B
0,5000,A
500,5000,B
315,500,A
185,500,B
228,1000,A
272,1000,B
285,1500,A
215,1500,B
243,2000,A
257,2000,B
160,2500,A
340,2500,B
252,3000,A
248,3000,B
463,3500,A
37,3500,B
497,4000,A
3,4000,B
500,4500,A
0,4500,B
500,5000,A
0,5000,B
205,500,A
295,500,B
403,1000,A
97,1000,B
454,1500,A
46,1500,B
423,2000,A
77,2000,B
425,2500,A
75,2500,B
316,3000,A
184,3000,B
228,3500,A
272,3500,B
348,4000,A
152,4000,B
342,4500,A
158,4500,B
283,5000,A
217,5000,B
325,500,A
175,500,B
409,1000,A
91,1000,B
456,1500,A
44,1500,B
420,2000,A
80,2000,B
403,2500,A
97,2500,B
425,3000,A
75,3000,B
287,3500,A
213,3500,B
216,4000,A
284,4000,B
216,4500,A
284,4500,B
170,5000,A
330,5000,B
152,500,A
348,500,B
254,1000,A
246,1000,B
179,1500,A
321,1500,B
0,2000,A
500,2000,B
0,2500,A
500,2500,B
0,3000,A
500,3000,B
0,3500,A
500,3500,B
0,4000,A
500,4000,B
0,4500,A
500,4500,B
0,5000,A
500,5000,B
112,500,A
388,500,B
63,1000,A
437,1000,B
76,1500,A
424,1500,B
153,2000,A
347,2000,B
281,2500,A
219,2500,B
215,3000,A
285,3000,B
351,3500,A
149,3500,B
223,4000,A
277,4000,B
188,4500,A
312,4500,B
241,5000,A
259,5000,B
132,500,A
368,500,B
164,1000,A
336,1000,B
87,1500,A
413,1500,B
141,2000,A
359,2000,B
89,2500,A
411,2500,B
6,3000,A
494,3000,B
6,3500,A
494,3500,B
0,4000,A
500,4000,B
0,4500,A
500,4500,B
0,5000,A
500,5000,B
84,500,A
416,500,B
54,1000,A
446,1000,B
